ID,Conteudo_Original,Fonte_Documento,Dado_Sensivel,Apenas_Para_Si,Areas_Liberadas,Nivel_Hierarquico_Minimo,Geografias_Liberadas,Projetos_Liberados,Idioma,Data_Validade
TI001,"A política de segurança da informação exige que todas as senhas tenham pelo menos 8 caracteres, incluindo maiúsculas, minúsculas, números e símbolos especiais.","Politica_Seguranca_TI_v3.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,
TI002,"O acesso ao VPN da empresa está disponível para todos os funcionários remotos. As credenciais são enviadas pelo e-mail corporativo após aprovação do gestor.","Manual_VPN_Corporativo.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,
TI003,"Os servidores de produção estão localizados no datacenter principal em São Paulo. O acesso físico é restrito apenas à equipe de infraestrutura.","Documentacao_Infraestrutura_BR.pdf",True,False,"['TI']",3,"['BR']","['ALL']",pt-br,
TI004,"Para o projeto Apollo, utilizamos tecnologias de ponta: Kubernetes, Docker, microserviços em Python e bancos de dados NoSQL (MongoDB).","Arquitetura_Projeto_Apollo_v2.pdf",True,False,"['TI']",4,"['ALL']","['Apollo']",en-us,
TI005,"A política de backup realiza cópias de segurança diárias dos dados críticos às 02:00. Os backups são armazenados por 90 dias.","Politica_Backup_2024.pdf",False,False,"['TI']",2,"['ALL']","['ALL']",pt-br,
TI006,"Os logs de acesso aos sistemas são monitorados 24/7 pela equipe de SOC. Qualquer atividade suspeita gera alertas automáticos.","Procedimentos_SOC_Monitoramento.pdf",True,False,"['TI', 'Seguranca']",4,"['ALL']","['ALL']",pt-br,
TI007,"A licença do Microsoft Office 365 custa USD $15 por usuário/mês. O orçamento total anual para software é de USD $500,000.","Orcamento_Software_TI_2025.xlsx",True,False,"['TI', 'Financeiro']",5,"['ALL']","['ALL']",pt-br,
TI008,"Para resolução de incidentes, utilizamos a ferramenta ServiceNow. O SLA padrão é de 4 horas para incidentes críticos.","Manual_ServiceNow_Incidentes.pdf",False,False,"['TI']",2,"['ALL']","['ALL']",pt-br,
TI009,"A política de BYOD (Bring Your Own Device) permite o uso de dispositivos pessoais para trabalho, mas exige instalação do MDM corporativo.","Politica_BYOD_v2.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,
TI010,"O sistema legado de CRM será descontinuado em dezembro de 2024. A migração para Salesforce está em andamento.","Plano_Migracao_CRM_Salesforce.pdf",False,False,"['TI', 'Vendas']",3,"['ALL']","['ALL']",pt-br,2024-12-31
TI011,"As chaves de API do projeto Apollo são rotacionadas mensalmente por motivos de segurança. Apenas desenvolvedores sênior têm acesso.","Gestao_APIs_Projeto_Apollo.pdf",True,True,"['TI']",4,"['ALL']","['Apollo']",en-us,
TI012,"O ambiente de desenvolvimento tem acesso liberado para todos os desenvolvedores. O ambiente de homologação requer aprovação do tech lead.","Politica_Ambientes_Desenvolvimento.pdf",False,False,"['TI']",2,"['ALL']","['ALL']",pt-br,
TI013,"A política de atualização de sistemas prevê janelas de manutenção aos sábados das 02:00 às 06:00. Usuários são notificados com 48h de antecedência.","Calendario_Manutencao_Sistemas.pdf",False,False,"['ALL']",1,"['ALL']","['ALL']",pt-br,
TI014,"O firewall da empresa bloqueia acesso a redes sociais durante horário comercial, exceto para o departamento de Marketing.","Configuracao_Firewall_Politicas.pdf",True,False,"['TI', 'Marketing']",3,"['ALL']","['ALL']",pt-br,
TI015,"Os certificados SSL dos sistemas críticos expiram em março de 2025. A renovação deve ser feita com pelo menos 30 dias de antecedência.","Inventario_Certificados_SSL.xlsx",True,False,"['TI']",3,"['ALL']","['ALL']",pt-br,2025-03-15